AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Latitude;Longitude;AirportName
AAA;AAA;PF;Airport;-10:00;Pacific/Tahiti;-17.3525;-145.51;Anaa
AAB;AAB;AU;Airport;+10:00;Australia/Brisbane;-26.6911;141.0472;Arrabury
AAC;AAC;EG;Airport;+02:00;Africa/Cairo;31.0733;33.8358;El Arish International
AAD;AAD;SO;Airport;+03:00;Africa/Mogadishu;6.0961;46.6375;Adado
AAE;AAE;DZ;Airport;+01:00;Africa/Algiers;36.8222;7.8092;Annaba Rabah Bitat
AAF;AAF;US;Airport;-05:00;America/New_York;29.7333;-85.0333;Apalachicola
AAG;AAG;BR;Airport;-03:00;America/Araguaina;-24.1036;-49.79;Arapoti Avelino Vieira
AAH;AAH;DE;Airport;+01:00;Europe/Berlin;50.8231;6.1864;Aachen Merzbrueck
AAI;AAI;BR;Airport;-03:00;America/Araguaina;-12.9167;-46.9333;Arraias
AAJ;AAJ;SR;Airport;-03:00;America/Paramaribo;3.9;-55.3667;Awaradam Cajana
AAK;AAK;KI;Airport;+12:00;Pacific/Tarawa;0.1853;173.6369;Aranuka
AAL;AAL;DK;Airport;+01:00;Europe/Copenhagen;57.0928;9.8492;Aalborg
AAM;AAM;ZA;Airport;+02:00;Africa/Johannesburg;-24.8181;31.5447;Mala Mala
AAN;AAN;AE;Airport;+04:00;Asia/Dubai;24.2617;55.6092;Al Ain International
AAO;AAO;VE;Airport;-04:00;America/Caracas;9.4167;-64.4667;Anaco
AAP;SRI;ID;Airport;+08:00;Asia/Makassar;-0.3731;117.2508;Houston Andrau Airpark
AAQ;AAQ;RU;Airport;+03:00;Europe/Moscow;45.0022;37.3472;Anapa
AAR;AAR;DK;Airport;+01:00;Europe/Copenhagen;56.3039;10.6194;Aarhus Tirstrup
AAS;AAS;ID;Airport;+09:00;Asia/Jayapura;-3.9167;139.25;Apalapsili
AAT;AAT;CN;Airport;+08:00;Asia/Shanghai;47.7506;88.0858;Altay
AAU;AAU;WS;Airport;+13:00;Pacific/Apia;-13.4583;-172.6;Asau
AAV;AAV;PH;Airport;+08:00;Asia/Manila;6.3333;124.7667;Surallah Allah Valley
AAW;AAH;DE;Bus Station;+01:00;Europe/Berlin;50.7825;6.0717;Aachen Bus station
AAX;AAX;BR;Airport;-03:00;America/Araguaina;-19.5633;-46.9603;Araxa
AAY;AAY;YE;Airport;+03:00;Asia/Aden;16.1936;52.1731;Al Ghaydah
AAZ;AAZ;GT;Airport;-06:00;America/Guatemala;14.8639;-91.5203;Quetzaltenango
ABA;ABA;RU;Airport;+07:00;Asia/Tomsk;53.74;91.385;Abakan
ABB;ABB;NG;Airport;+01:00;Africa/Lagos;6.2031;6.6672;Asaba International
ABC;ABC;ES;Airport;+01:00;Europe/Madrid;38.9486;-1.8636;Albacete Airport
ABD;ABD;IR;Airport;+03:30;Asia/Tehran;30.3711;48.2283;Abadan
ABE;ABE;US;Airport;-05:00;America/New_York;40.6522;-75.4408;Allentown/Bethlehem
ABF;ABF;KI;Airport;+12:00;Pacific/Tarawa;1.3817;173.1475;Abaiang
ABG;ABG;AU;Airport;+10:00;Australia/Brisbane;-17.6667;143.2;Abingdon Downs
ABH;ABH;AU;Airport;+10:00;Australia/Brisbane;-23.7;146.5833;Alpha
ABI;ABI;US;Airport;-06:00;America/Chicago;32.4114;-99.6819;Abilene
ABJ;ABJ;CI;Airport;+00:00;Africa/Abidjan;5.2614;-3.9264;Abidjan
ABK;ABK;ET;Airport;+03:00;Africa/Addis_Ababa;6.7339;44.2553;Kabri Dar
ABL;ABL;US;Airport;-09:00;America/Anchorage;67.1072;-157.8533;Ambler
ABM;ABM;AU;Airport;+10:00;Australia/Brisbane;-10.9508;142.4594;Bamaga Northern Peninsula
ABN;ABN;SR;Airport;-03:00;America/Paramaribo;5.5167;-54.05;Albina
ABO;ABO;CI;Airport;+00:00;Africa/Abidjan;5.4667;-3.2;Aboisso
ABP;ABP;PG;Airport;+10:00;Pacific/Port_Moresby;-6.0667;141.1;Atkamba
ABQ;ABQ;US;Airport;-07:00;America/Denver;35.0406;-106.6094;Albuquerque
ABR;ABR;US;Airport;-06:00;America/Chicago;45.4536;-98.4256;Aberdeen (US)
ABS;ABS;EG;Airport;+02:00;Africa/Cairo;22.3758;31.6117;Abu Simbel
ABT;ABT;SA;Airport;+03:00;Asia/Riyadh;20.2961;41.6342;Al Baha Al-Aqiq
